stock_name,production_vendor,Amount
4K-DRA-3102,CBS,16880.01
DIG-ACT-5207,CBS,20741.24
DIG-DRA-5767,CTV Sci-Fi Channel,20680.51
BLU-DRA-2890,The CW,13492.44
BLU-DRA-7885,HBO,15824.78
DIG-ACT-8196,The CW,10832.53
4K-DRA-8763,Paramount+ with Showtime,15285.72
BLU-DRA-2941,FOX,13740.28
BLU-DRA-8698,ABC,7419.25
BLU-DRA-3707,NBC,23657.12
BLU-DRA-7855,FOX,7452.12
4K-DRA-9038,Showcase,15468.67
4K-DRA-9999,The CW,15442.12
BLU-DRA-9309,Showcase,21242.34
DVD-DRA-1060,NBC,3827.08
DIG-HOR-1357,Paramount+ with Showtime,20364.99
4K-ACT-5629,CBS,19938.03
4K-DRA-7800,The CW,22895.96
DIG-DRA-9382,FX,20647.27
DVD-DRA-5993,TNT,16859.89
BLU-DRA-3439,HBO,7922.44
4K-DRA-8325,ABC,11108.17
BLU-DRA-1425,CBS,24467.88
DVD-ANI-1288,Fuji TV,15718.35
BLU-DRA-3227,TBS,17049.88
4K-ANI-4265,NTV,23938.79
DVD-DRA-7262,Paramount+ with Showtime,19483.7
DVD-DRA-4211,History,13563.28
DVD-DRA-9622,FX,8900.57
DVD-ACT-9144,ABC,14641.82
BLU-DRA-6442,FX,5047.14
DVD-DRA-7409,Netflix,15303.49
BLU-HOR-5511,Syfy,5105.64
4K-DRA-7472,AMC,12303.88
DVD-DRA-6837,BBC America,12603.67
DVD-ACT-5179,Syfy,9250.49
BLU-DRA-5613,ABC,8452.51
4K-ANI-2502,NTV,11228.55
BLU-COM-9956,FOX,10914.45
4K-DRA-8408,FOX,22116.5
BLU-ADV-7147,STARZ,10395.99
DVD-DRA-8651,CBS,4836.87
BLU-DRA-3825,CBS,14343.61
DIG-DRA-7140,ABC,3458.12
DIG-DRA-7916,Lifetime,6106.11
DVD-DRA-7547,CBS,5141.66
4K-COM-2943,NBC,19946.17
BLU-DRA-9758,Lifetime,9960.09
DVD-DRA-5163,Cinemax,3885.44
DVD-DRA-3698,ABC,10178.29
DIG-DRA-4580,CMT,9447.4
DVD-DRA-7384,TNT,9068.1
DIG-DRA-8312,FOX,4438.71
DIG-DRA-4323,NBC,8510.55
DIG-COM-5536,ABC,16654.11
4K-COM-6523,FOX,14391.24
4K-DRA-6149,NBC,9773.83
DVD-DRA-5285,CBS,17706.22
DVD-DRA-4883,CTV Sci-Fi Channel,19075.62
4K-DRA-5353,The CW,13499.12
BLU-DRA-4184,The CW,21808.14
DVD-DRA-8570,Channel 4,18748.19
DVD-DRA-3765,FOX,11941.39
4K-COM-7490,CBS,20513.62
BLU-DRA-2755,ABC,5110.39
DIG-DRA-2061,ABC,19953.39
4K-DRA-3003,NBC,5929.99
DIG-MUS-4475,NBC,12944.9
4K-FAM-3502,ABC,19670.93
DIG-DRA-6104,CBS,11189.49
BLU-DRA-2226,AMC+,10412.6
DIG-DRA-6245,AMC,6691.37
4K-COM-7170,Hulu,10956.31
DIG-DRA-2042,FX,15424.24
BLU-COM-6390,ABC,24687.31
DIG-COM-2448,NBC,23074.73
4K-COM-3630,ABC,19322.54
DVD-COM-1661,ABC,18785.8
BLU-DRA-7512,Paramount+,20478.14
DVD-DRA-7279,HBO,12041.13
DVD-COM-8552,FOX,7633.24
4K-COM-9078,FOX,23620.16
DIG-CRI-2423,CBS,13638.07
DVD-DRA-7901,FX,21585.73
DVD-DRA-7762,The CW,23643.44
DVD-DRA-4473,A&E,19119.5
DVD-DRA-9274,Syfy,4958.7
DIG-COM-4143,NBC,7441.93
DIG-COM-3285,NBC,12785.87
BLU-DRA-2201,NBC,17998.02
DVD-ACT-1823,Syfy,7639.48
DIG-DRA-2132,TNT,16732.86
BLU-COM-8313,ABC,5669.17
4K-DRA-9039,ABC,3075.58
DVD-DRA-5787,CBS,18635.72
DVD-DRA-3927,CBS,19605.12
BLU-DRA-7723,HBO,21366.5
DVD-DRA-5223,NBC,20635.37
DVD-ACT-4964,Syfy,15640.49
4K-ACT-7274,El Rey Network,19449.81
4K-DRA-6789,FX,20186.54
DVD-COM-4020,FOX,14550.19
DVD-COM-5318,FOX,10115.97
DIG-DRA-8326,CBS,20163.85
DVD-DRA-9532,FOX,24972.39
DIG-DRA-8138,ABC,19804.72
BLU-COM-5295,Comedy Central,12068.74
DIG-ADV-7761,CBS,4469.22
DVD-COM-6004,Hulu,12816.17
4K-DRA-9946,CBS,3592.85
4K-ACT-7535,Disney XD,4692.1
DVD-DRA-4736,FOX,18158.24
4K-DRA-9161,Prime Video,13374.44
4K-DRA-6154,The CW,4061.6
4K-DRA-7968,ABC,24213.35
BLU-COM-9171,CBS,8117.44
DIG-COM-4214,ABC,21834.75
4K-COM-1742,CBS,7006.96
4K-DRA-4268,Paramount+ with Showtime,3205.75
DIG-DRA-3403,The CW,23000.7
DVD-COM-1692,NBC,19372.78
DIG-COM-5435,CBS,5532.88
BLU-DRA-4645,NBC,12980.24
DIG-COM-7675,CBS,4206.6
DIG-DRA-6631,CBS,20935.79
4K-DRA-2475,NBC,9821.93
DIG-COM-4784,CBS,14235.96
4K-COM-9208,ABC,18826.57
DVD-DRA-3832,HBO,21517.23
DIG-DRA-8903,HBO,23227.71
DIG-DRA-1295,HBO,9619.9
4K-COM-8532,HBO,18246.76
DIG-COM-3388,HBO,15679.03
DVD-COM-9328,HBO,12681.56
BLU-COM-5962,HBO,19672.32
DVD-DRA-6573,Paramount+ with Showtime,11494.51
DVD-COM-3141,Paramount+ with Showtime,7491.48
DVD-DRA-3860,Paramount+ with Showtime,11417.99
BLU-COM-6688,Paramount+ with Showtime,17266.68
DVD-DRA-2806,Paramount+ with Showtime,21119.74
BLU-DRA-1065,Paramount+ with Showtime,7954.99
DIG-DRA-8302,HBO,17755.4
DIG-DRA-4880,Paramount+ with Showtime,12820.23
4K-DRA-9421,Syfy,13619.48
BLU-ACT-4769,The CW,8451.8
BLU-CRI-3547,Paramount+ with Showtime,11526.75
DIG-DRA-4719,FX,16986.45
BLU-DRA-3993,FOX,9416.32
DVD-DRA-8606,NBC,13561.73
DVD-DRA-6864,Paramount+ with Showtime,9678.36
4K-DRA-8877,Paramount+ with Showtime,16801.04
4K-DRA-4165,HBO,4345.25
4K-ACT-9722,FOX,21571.92
BLU-DRA-1324,Cinemax,16413.4
4K-ACT-3429,NBC,13445.62
4K-DRA-4103,Syfy,11434.9
DVD-DRA-6192,FOX,24833.21
